,Nodes,GW15.clusterColorID,GW19.clusterColorID,GW15.clusterID,GW19.clusterID,GW.clusterColorID,GW.clusterID
2973,RPLP0,yellow,grey,4,0,blue,2
2974,RPLP2,grey,turquoise,0,1,turquoise,1
2975,RPN2,brown,lightgreen,3,18,blue,2
2976,RPS11,grey,grey,0,0,turquoise,1
2977,RPS12,blue,blue,2,2,green,5
2978,RPS14,green,yellow,5,4,yellow,4
2979,RPS16,green,turquoise,5,1,yellow,4
2980,RPS18,grey,turquoise,0,1,turquoise,1
2981,RPS2,grey,grey,0,0,turquoise,1
2982,RPS23,blue,grey,2,0,turquoise,1
2983,RPS24,brown,turquoise,3,1,grey60,17
2984,RPS28,blue,brown,2,3,royalblue,20
2985,RPS29,magenta,tan,9,12,greenyellow,11
2986,RPS3,grey,turquoise,0,1,turquoise,1
2987,RPS3A,grey,grey,0,0,turquoise,1
2988,RPS4Y1,magenta,tan,9,12,greenyellow,11
2989,RPS6,brown,turquoise,3,1,blue,2
2990,RPS6KA2,turquoise,grey,1,0,turquoise,1
2991,RPS6KA3,brown,brown,3,3,blue,2
2992,RPS6KC1,turquoise,lightgreen,1,18,purple,10
2993,RPUSD3,yellow,green,4,5,brown,3
2994,RQCD1,brown,turquoise,3,1,blue,2
2995,RRAGD,magenta,black,9,7,greenyellow,11
2996,RREB1,blue,turquoise,2,1,green,5
2997,RRM2B,grey,turquoise,0,1,turquoise,1
2998,RRP1B,turquoise,blue,1,2,blue,2
2999,RSBN1,salmon,turquoise,13,1,lightcyan,16
3000,RSF1,salmon,greenyellow,13,11,lightcyan,16
3001,RSL1D1,grey,turquoise,0,1,turquoise,1
3002,RSL24D1,grey,grey,0,0,green,5
3003,RSPO3,grey,grey,0,0,turquoise,1
3004,RSPRY1,blue,brown,2,3,blue,2
3005,RSRC2,grey,turquoise,0,1,turquoise,1
3006,RTCB,grey60,turquoise,17,1,blue,2
3007,RTF1,grey,grey,0,0,turquoise,1
3008,RTN1,magenta,purple,9,10,greenyellow,11
3009,RTN3,grey,lightgreen,0,18,purple,10
3010,RTN4,green,yellow,5,4,royalblue,20
3011,RTN4R,grey,turquoise,0,1,turquoise,1
3012,RUFY2,brown,grey,3,0,blue,2
3013,RUFY3,blue,turquoise,2,1,green,5
3014,RUNX1T1,blue,cyan,2,14,tan,12
3015,RUSC1,brown,blue,3,2,blue,2
3016,RUSC2,blue,turquoise,2,1,pink,8
3017,RUVBL1,brown,turquoise,3,1,blue,2
3018,RXRB,grey,blue,0,2,turquoise,1
3019,RYBP,grey,grey,0,0,turquoise,1
3020,RYR3,tan,turquoise,12,1,cyan,14
3021,S1PR1,tan,turquoise,12,1,cyan,14
3022,SACM1L,green,yellow,5,4,yellow,4
3023,SACS,pink,turquoise,8,1,tan,12
3024,SAE1,greenyellow,turquoise,11,1,midnightblue,15
3025,SALL1,midnightblue,midnightblue,15,15,lightyellow,19
3026,SALL3,grey,turquoise,0,1,turquoise,1
3027,SAP30L,blue,turquoise,2,1,green,5
3028,SAR1A,grey,turquoise,0,1,black,7
3029,SAR1B,grey,turquoise,0,1,pink,8
3030,SARM1,yellow,grey,4,0,blue,2
3031,SARS,grey,lightgreen,0,18,purple,10
3032,SART1,turquoise,grey,1,0,turquoise,1
3033,SART3,brown,grey,3,0,turquoise,1
3034,SATB1,midnightblue,midnightblue,15,15,lightyellow,19
3035,SATB2,red,grey,6,0,red,6
3036,SAV1,brown,turquoise,3,1,blue,2
3037,SBDS,grey,turquoise,0,1,turquoise,1
3038,SBF1,grey,grey,0,0,turquoise,1
3039,SBF2,turquoise,grey,1,0,turquoise,1
3040,SBK1,yellow,green,4,5,brown,3
3041,SBNO1,blue,grey,2,0,turquoise,1
3042,SC5D,grey,turquoise,0,1,turquoise,1
3043,SCAMP2,red,red,6,6,red,6
3044,SCAMP5,green,turquoise,5,1,yellow,4
3045,SCARB2,tan,salmon,12,13,cyan,14
3046,SCD,grey,grey,0,0,turquoise,1
3047,SCD5,grey,grey,0,0,turquoise,1
3048,SCG2,grey,grey,0,0,turquoise,1
3049,SCG3,blue,grey,2,0,turquoise,1
3050,SCHIP1,purple,magenta,10,9,salmon,13
3051,SCML2,turquoise,turquoise,1,1,purple,10
3052,SCN2A,greenyellow,purple,11,10,midnightblue,15
3053,SCN3A,pink,cyan,8,14,tan,12
3054,SCN3B,red,red,6,6,red,6
3055,SCN9A,turquoise,purple,1,10,midnightblue,15
3056,SCOC,grey,greenyellow,0,11,turquoise,1
3057,SCRN1,blue,darkred,2,21,blue,2
3058,SCRT1,grey,turquoise,0,1,turquoise,1
3059,SCRT2,red,blue,6,2,red,6
3060,SCUBE1,turquoise,grey,1,0,turquoise,1
3061,SCYL1,yellow,green,4,5,brown,3
3062,SCYL2,grey,grey,0,0,turquoise,1
3063,SDAD1,red,red,6,6,red,6
3064,SDC1,grey,grey,0,0,turquoise,1
3065,SDC3,grey,lightgreen,0,18,turquoise,1
3066,SDCBP,grey,grey,0,0,turquoise,1
3067,SDK2,magenta,turquoise,9,1,greenyellow,11
3068,SEC11A,grey,turquoise,0,1,turquoise,1
3069,SEC11C,grey,turquoise,0,1,turquoise,1
3070,SEC14L1,grey60,turquoise,17,1,blue,2
3071,SEC23A,turquoise,grey,1,0,blue,2
3072,SEC24A,yellow,turquoise,4,1,brown,3
3073,SEC24B,grey,turquoise,0,1,turquoise,1
3074,SEC24D,grey,turquoise,0,1,turquoise,1
3075,SEC31A,grey,turquoise,0,1,turquoise,1
3076,SEC61B,lightyellow,turquoise,19,1,darkgreen,22
3077,SEC61G,turquoise,grey,1,0,turquoise,1
3078,SECISBP2,yellow,green,4,5,brown,3
3079,SECISBP2L,yellow,tan,4,12,brown,3
3080,SEH1L,turquoise,lightcyan,1,16,green,5
3081,SEL1L3,grey,turquoise,0,1,turquoise,1
3082,SEMA3A,blue,turquoise,2,1,green,5
3083,SEMA3C,green,yellow,5,4,yellow,4
3084,SEMA4B,grey,turquoise,0,1,turquoise,1
3085,SEMA4C,grey,turquoise,0,1,turquoise,1
3086,SEMA4D,turquoise,blue,1,2,blue,2
3087,SEMA4G,turquoise,brown,1,3,green,5
3088,SEMA6A,green,yellow,5,4,yellow,4
3089,SEMA6B,brown,turquoise,3,1,blue,2
3090,SEMA6C,green,yellow,5,4,yellow,4
3091,SEMA6D,blue,grey,2,0,pink,8
3092,SEMA7A,red,red,6,6,red,6
3093,SENP1,brown,turquoise,3,1,black,7
3094,SENP2,greenyellow,purple,11,10,midnightblue,15
3095,SENP5,grey,turquoise,0,1,turquoise,1
3096,SENP6,grey,grey,0,0,turquoise,1
3097,SEPHS2,brown,turquoise,3,1,blue,2
3098,SEPN1,grey,turquoise,0,1,turquoise,1
3099,SERINC1,red,red,6,6,red,6
3100,SERP1,grey60,grey,17,0,blue,2
3101,SERPINE2,blue,grey,2,0,green,5
3102,SERPINI1,turquoise,grey,1,0,turquoise,1
3103,SERTAD2,grey,turquoise,0,1,turquoise,1
3104,SERTAD3,cyan,pink,14,8,lightgreen,18
3105,SESN1,grey,turquoise,0,1,turquoise,1
3106,SESN3,blue,greenyellow,2,11,pink,8
3107,SESTD1,brown,lightgreen,3,18,purple,10
3108,SETBP1,grey,grey,0,0,pink,8
3109,SETD2,brown,grey,3,0,black,7
3110,SETD5,grey,blue,0,2,blue,2
3111,SETD7,grey,pink,0,8,lightgreen,18
3112,SETX,grey,turquoise,0,1,turquoise,1
3113,SEZ6,grey,grey,0,0,turquoise,1
3114,SEZ6L,blue,royalblue,2,20,purple,10
3115,SEZ6L2,brown,turquoise,3,1,black,7
3116,SF3B3,grey,cyan,0,14,tan,12
3117,SF3B4,turquoise,turquoise,1,1,purple,10
3118,SFPQ,black,blue,7,2,magenta,9
3119,SFRP1,grey,turquoise,0,1,turquoise,1
3120,SFSWAP,pink,turquoise,8,1,tan,12
3121,SFT2D2,grey,turquoise,0,1,turquoise,1
3122,SFXN1,red,blue,6,2,red,6
3123,SGK1,green,blue,5,2,yellow,4
3124,SGMS1,blue,turquoise,2,1,grey60,17
3125,SH3BGRL2,red,turquoise,6,1,red,6
3126,SH3BP5,blue,turquoise,2,1,blue,2
3127,SH3GL2,grey,blue,0,2,turquoise,1
3128,SH3GLB1,purple,grey,10,0,salmon,13
3129,SH3KBP1,royalblue,turquoise,20,1,purple,10
3130,SH3PXD2A,grey,turquoise,0,1,turquoise,1
3131,SHANK1,grey,turquoise,0,1,turquoise,1
3132,SHANK2,magenta,tan,9,12,greenyellow,11
3133,SHB,brown,grey,3,0,turquoise,1
3134,SHISA2,black,black,7,7,magenta,9
3135,SHOC2,brown,grey,3,0,black,7
3136,SHPRH,blue,grey,2,0,greenyellow,11
3137,SHQ1,cyan,turquoise,14,1,lightgreen,18
3138,SHROOM3,midnightblue,midnightblue,15,15,lightyellow,19
3139,SIAH1,blue,turquoise,2,1,red,6
3140,SIK1,tan,grey,12,0,cyan,14
3141,SIK2,green,turquoise,5,1,yellow,4
3142,SIMC1,grey,grey,0,0,turquoise,1
3143,SIN3A,blue,greenyellow,2,11,green,5
3144,SIPA1L2,turquoise,black,1,7,magenta,9
3145,SIRT1,cyan,pink,14,8,lightgreen,18
3146,SKI,blue,grey,2,0,pink,8
3147,SKIDA1,magenta,turquoise,9,1,greenyellow,11
3148,SKIL,yellow,grey,4,0,brown,3
3149,SKP2,turquoise,brown,1,3,grey60,17
3150,SLA,grey,grey,0,0,turquoise,1
3151,SLAIN1,magenta,turquoise,9,1,greenyellow,11
3152,SLC10A3,turquoise,greenyellow,1,11,lightcyan,16
3153,SLC10A7,yellow,turquoise,4,1,brown,3
3154,SLC12A6,blue,grey60,2,17,green,5
3155,SLC13A3,grey,turquoise,0,1,turquoise,1
3156,SLC15A4,green,turquoise,5,1,yellow,4
3157,SLC16A1,grey,turquoise,0,1,turquoise,1
3158,SLC16A14,grey,blue,0,2,green,5
3159,SLC16A7,grey,turquoise,0,1,turquoise,1
3160,SLC17A5,turquoise,yellow,1,4,yellow,4
3161,SLC17A7,red,turquoise,6,1,red,6
3162,SLC19A2,green,turquoise,5,1,yellow,4
3163,SLC1A2,red,turquoise,6,1,greenyellow,11
3164,SLC1A4,turquoise,grey,1,0,turquoise,1
3165,SLC20A2,turquoise,grey,1,0,turquoise,1
3166,SLC22A17,turquoise,brown,1,3,brown,3
3167,SLC22A23,grey,turquoise,0,1,turquoise,1
3168,SLC23A2,blue,grey60,2,17,green,5
3169,SLC24A2,grey,turquoise,0,1,turquoise,1
3170,SLC25A12,grey,greenyellow,0,11,lightcyan,16
3171,SLC25A24,grey,turquoise,0,1,turquoise,1
3172,SLC25A28,blue,turquoise,2,1,grey60,17
3173,SLC25A36,purple,turquoise,10,1,salmon,13
3174,SLC29A1,brown,turquoise,3,1,blue,2
3175,SLC30A6,grey,turquoise,0,1,turquoise,1
3176,SLC30A7,turquoise,yellow,1,4,yellow,4
3177,SLC30A9,blue,turquoise,2,1,grey60,17
3178,SLC35A4,purple,turquoise,10,1,salmon,13
3179,SLC35A5,brown,grey,3,0,turquoise,1
3180,SLC35B1,grey,yellow,0,4,yellow,4
3181,SLC35B2,turquoise,grey,1,0,turquoise,1
3182,SLC35B4,midnightblue,turquoise,15,1,lightyellow,19
3183,SLC35D1,grey,tan,0,12,greenyellow,11
3184,SLC35E3,grey,grey,0,0,turquoise,1
3185,SLC35F5,yellow,red,4,6,red,6
3186,SLC36A1,brown,turquoise,3,1,blue,2
3187,SLC36A4,brown,turquoise,3,1,royalblue,20
3188,SLC38A1,turquoise,grey60,1,17,green,5
3189,SLC38A2,blue,blue,2,2,turquoise,1
3190,SLC39A10,blue,salmon,2,13,cyan,14
3191,SLC39A13,grey,turquoise,0,1,turquoise,1
